Indicator Name,Indicator Code,Country Name,Country Code,Year,Value
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Eastern and Southern,AFE,2019,37.89360382
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Eastern and Southern,AFE,2010,23.02245786
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Eastern and Southern,AFE,2000,20.72895932
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Eastern and Southern,AFE,1990,14.9410057
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Western and Central,AFW,2019,15.64222091
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Western and Central,AFW,2010,12.52066169
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Western and Central,AFW,2000,8.391848517
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Africa Western and Central,AFW,1990,3.583328348
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Arab World,ARB,2010,42.13497495
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Arab World,ARB,2000,39.66773193
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Arab World,ARB,1990,30.90262143
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Caribbean small states,CSS,2010,54.43667484
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,EAR,EAR,2019,52.19840758
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,EAR,EAR,2010,47.73448696
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,EAR,EAR,2000,41.7596608
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,EAR,EAR,1990,36.34458169
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific,EAS,2019,70.24914286
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific,EAS,2000,74.65191542
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific,EAS,1990,65.34713621
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific (excluding high income),EAP,2019,72.17080759
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific (excluding high income),EAP,2000,76.16181948
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific (excluding high income),EAP,1990,66.23973801
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific (IDA & IBRD),TEA,2019,72.21426216
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific (IDA & IBRD),TEA,2000,76.38669076
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,East Asia & Pacific (IDA & IBRD),TEA,1990,66.43170241
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Europe & Central Asia,ECS,2010,57.68468707
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Europe & Central Asia (excluding high income),ECA,2010,47.05942144
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Europe & Central Asia (IDA & IBRD),TEC,2010,46.5060091
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Fragile and conflict affected situations,FCS,2019,24.43017233
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Fragile and conflict affected situations,FCS,2010,19.82623453
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Fragile and conflict affected situations,FCS,2000,18.1698112
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Heavily indebted poor countries (HIPC),HPC,2019,28.49648687
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Heavily indebted poor countries (HIPC),HPC,2010,20.13725905
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Heavily indebted poor countries (HIPC),HPC,2000,11.75211673
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Heavily indebted poor countries (HIPC),HPC,1990,5.456086566
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IBRD only,IBD,2019,64.02007414
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IBRD only,IBD,2000,61.86861009
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IBRD only,IBD,1990,55.0982899
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IDA & IBRD total,IBT,2019,55.58642705
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IDA & IBRD total,IBT,2010,43.97838199
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IDA & IBRD total,IBT,2000,53.24430835
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,IDA & IBRD total,IBT,1990,47.59760316
